CIDS,SE_NAME,SE_FREQ,SE_ONTOLOGY
CID000005394,hypoaesthesia,3,17.02.06.023
CID000216239,hypersensitivity,3,10.01.03.003
CID000004440,micturition urgency,2,20.02.02.006
CID001548943,application site dryness,4,08.02.01.011|12.07.01.011|23.03.03.024
CID000005002,nocturia,2,20.02.03.001
CID000003009,folliculitis,3,11.01.12.018|23.09.04.007
CID000004054,haematuria,3,20.02.01.006|24.07.01.047
CID024826799,nausea,5,07.01.07.001
CID000001983,hepatobiliary disease,1,09.01.08.003
CID000005090,hypertension,4,24.08.02.001
CID005324345,urinary retention,3,20.02.02.011
CID000057469,body temperature increased,4,13.15.01.001
CID046216142,vertigo,4,04.04.01.003|17.02.12.002
CID005362070,gastrointestinal pain,5,07.01.05.005
CID000134018,gastrooesophageal reflux disease,3,07.02.02.003
CID000003446,lymphadenopathy,3,01.09.01.002
CID000004449,urine output increased,3,13.13.03.002
CID000003878,bipolar i disorder,2,19.16.01.002
CID000010413,muscular weakness,1,15.05.06.001|17.05.03.005
CID000005095,blood pressure increased,3,13.14.03.005
CID000005757,sinusitis,4,11.01.13.005|22.07.03.007
CID016129665,cold sweat,4,08.01.03.024|23.02.03.002
CID000216326,dyspnoea exertional,4,02.01.03.003|22.02.01.005
CID005362118,vision blurred,3,06.02.06.007|17.17.01.010
CID000005656,hyperaesthesia,3,17.02.06.004
CID044201342,cardiac disorder,4,02.01.01.003
CID000003386,dysgeusia,4,07.14.03.001|17.02.07.003
CID000020279,erythema multiforme,2,10.01.03.015|23.03.01.003
CID005284627,apathy,4,19.04.04.002
CID000163296,discomfort,3,08.01.08.003
CID000003749,flushing,3,08.01.03.025|23.06.05.003|24.03.01.002
CID000001775,stupor,4,17.02.04.007|19.02.05.004
CID000055891,shock,3,24.06.02.002
CID000158781,tracheobronchitis,3,11.01.13.008|22.07.03.010
CID000159269,insomnia,4,17.15.03.002|19.02.01.002
CID000004679,liver function test abnormal,4,13.03.01.013
CID000043815,tongue disorder,2,07.14.01.002
CID005284566,syncope,3,02.01.02.008|17.02.04.008|24.06.02.012
CID000005095,vaginal haemorrhage,4,21.08.01.001|24.07.03.005
CID000003749,anaemia,2,01.03.02.001
CID005352062,thrombocytopenia,5,01.08.01.002
CID000006252,decreased appetite,5,08.01.09.028|14.03.01.005
CID000002249,cardiac arrest,3,02.03.04.001
CID000657237,sinusitis,4,11.01.13.005|22.07.03.007
CID000003446,dry mouth,4,07.06.01.002
CID000000247,tooth disorder,3,07.09.05.001
CID000077993,sinusitis,2,11.01.13.005|22.07.03.007
CID000060853,gastrooesophageal reflux disease,2,07.02.02.003
CID000451668,bone pain,4,15.02.01.001
CID000004051,abdominal pain upper,4,07.01.05.003
CID000001775,vaginal infection,3,11.01.10.002|21.14.02.002
CID000123606,photosensitivity reaction,2,23.03.09.003
CID000003158,haematoma,2,24.07.01.001
CID000077990,nausea,3,07.01.07.001
CID000003386,diarrhoea haemorrhagic,2,07.02.01.002|24.07.02.004
CID006602291,hypomagnesaemia,4,14.04.02.001
CID000005291,lacrimation increased,5,06.08.02.004
CID000003446,peripheral vascular disorder,3,24.03.01.003
CID003052775,hypertonia,4,15.05.04.007|17.05.02.001
CID000071301,insomnia,4,17.15.03.002|19.02.01.002
CID000037542,colitis ischaemic,2,07.08.01.004|24.04.08.012
CID000003380,disorientation,3,17.02.05.015|19.13.01.002
CID000004075,oedema peripheral,4,02.05.04.007|08.01.07.007|14.05.06.011
CID000065856,nervousness,4,19.06.02.003
CID000969472,urticaria,3,10.01.06.001|23.04.02.001
CID000039186,hyperglycaemia,4,05.06.02.002|14.06.02.002
CID000056338,diplopia,4,06.02.06.002|17.17.01.005
CID005360373,pneumonia,5,11.01.09.003|22.07.01.003
CID000000444,cough,4,22.02.03.001
CID000047811,hypercholesterolaemia,3,14.08.01.001
CID000003157,pain,4,08.01.08.004
CID000060198,gastrointestinal pain,4,07.01.05.005
CID016129690,gastrointestinal disorder,3,07.11.01.001
CID000077992,constipation,3,07.02.02.001
CID000449171,oedema,4,08.01.07.006|14.05.06.010
CID000004212,stomatitis,5,07.05.06.005
CID000115237,malnutrition,3,14.03.02.004
CID000005095,skin ulcer,4,23.07.03.003|24.04.03.007
CID003052775,influenza,4,11.05.03.001|22.07.02.001
CID000119182,paraesthesia,4,17.02.06.005
CID000033613,jaundice cholestatic,1,09.01.01.005
CID000004205,dyspnoea,4,02.01.03.002|22.02.01.004
CID006321408,dermatitis,4,23.03.04.002
CID000168708,vulvovaginal mycotic infection,3,11.03.05.004|21.14.02.004
CID000644241,diarrhoea,4,07.02.01.001
CID000003878,syncope,3,02.01.02.008|17.02.04.008|24.06.02.012
CID000119569,pain in extremity,4,15.03.04.010
CID000219078,diplopia,5,06.02.06.002|17.17.01.005
CID006442177,hypophosphataemia,4,14.04.03.001
CID000060464,flatulence,4,07.01.04.002
CID000004594,dysgeusia,4,07.14.03.001|17.02.07.003
CID000060853,agitation,4,17.02.05.012|19.06.02.001
CID009854073,fatigue,4,08.01.01.002
CID000005095,myalgia,4,15.05.02.001
CID000005291,neutropenia,5,01.02.03.004
CID000005291,acute coronary syndrome,2,02.02.02.015|24.04.04.011
CID000004609,rash,5,23.03.13.001
CID000006006,ill-defined disorder,4,08.01.03.049
CID000446541,hypomagnesaemia,5,14.04.02.001
CID000002435,headache,5,17.14.01.001
CID000004585,disturbance in sexual arousal,3,19.08.04.003
CID000034312,hot flush,4,08.01.03.027|21.02.02.001|24.03.01.005
CID000969472,insomnia,3,17.15.03.002|19.02.01.002
CID006918250,hypotension,4,24.06.03.002
CID000059226,dysaesthesia,4,17.02.06.003
CID000077993,pruritus,3,23.03.12.001
CID000445643,anaemia,5,01.03.02.001
CID000003152,oedema peripheral,4,02.05.04.007|08.01.07.007|14.05.06.011
CID000005426,weight increased,4,13.15.01.006
CID000003157,chest pain,4,02.02.02.011|08.01.08.002|22.02.08.003
CID000060648,tendinous contracture,3,15.07.01.001
CID000026757,hyperkinesia,3,17.01.02.008
CID000060834,cough,4,22.02.03.001
CID000063009,euphoric mood,3,19.04.02.006
CID006602291,mental disorder,5,19.07.01.002
CID000005095,premenstrual syndrome,3,19.04.02.009|21.01.01.007
CID000005394,nervous system disorder,4,17.02.10.001
CID023652731,gastrooesophageal reflux disease,4,07.02.02.003
CID000002771,alcohol intolerance,3,14.02.01.001
CID000003559,rash,1,23.03.13.001
CID000060857,tardive dyskinesia,2,17.01.02.012
CID000003784,dizziness,4,02.01.02.004|17.02.05.003|24.06.02.007
CID000129228,lymphadenopathy,3,01.09.01.002
CID000083030,arrhythmia,4,02.03.02.001
CID003005572,vomiting,4,07.01.07.003
CID000158781,diarrhoea,4,07.02.01.001
CID000026757,pneumonia,3,11.01.09.003|22.07.01.003
CID003052762,feeling abnormal,3,08.01.09.014
CID009887712,blood creatinine increased,3,13.13.01.004
CID005282381,headache,4,17.14.01.001
CID010324367,arrhythmia,3,02.03.02.001
CID000005070,atrial fibrillation,3,02.03.03.002
CID000077990,musculoskeletal stiffness,3,15.03.01.005
CID000004609,bronchospasm,4,10.01.03.012|22.03.01.004
CID000005291,ill-defined disorder,4,08.01.03.049
CID000060706,shock,4,24.06.02.002
CID000003386,mania,3,19.16.02.002
CID005362420,visual impairment,4,06.02.06.008
CID000082146,renal impairment,3,20.01.03.010
CID000003494,fatigue,3,08.01.01.002
CID000005095,visual acuity reduced,3,06.02.03.001|17.17.01.011
CID000068740,dry mouth,3,07.06.01.002
CID011672602,weight decreased,4,13.15.01.005
CID000175804,hypothermia,4,08.05.01.003|12.05.03.001
CID005284627,muscle twitching,4,15.05.03.005
CID000010631,weight increased,4,13.15.01.006
CID000005095,perineal pain,4,21.10.01.003
CID006918250,rash,4,23.03.13.001
CID000216416,deep vein thrombosis,3,24.01.02.003
CID000047811,dysmenorrhoea,4,21.01.01.002
CID000037542,sexual dysfunction,4,19.08.05.002|21.03.02.003
CID000077990,leukocytosis,3,01.02.01.002
CID000034312,pneumonia,4,11.01.09.003|22.07.01.003
CID010324367,dyspnoea,5,02.01.03.002|22.02.01.004
CID000444795,dry mouth,4,07.06.01.002
CID005481350,vomiting,5,07.01.07.003
CID000004171,acute myocardial infarction,3,02.02.02.001|24.04.04.001
CID071306834,leukopenia,4,01.02.02.001
CID000005719,parosmia,4,17.04.04.002|22.04.03.007
CID000054746,pneumonia,4,11.01.09.003|22.07.01.003
CID000082146,hepatic failure,3,09.01.03.002
CID000003152,cholelithiasis,3,09.03.01.002
CID000004158,decreased appetite,5,08.01.09.028|14.03.01.005
CID003005572,hyperhidrosis,5,08.01.03.028|23.02.03.004
CID011234049,vomiting,4,07.01.07.003
CID005486971,blindness,2,06.02.02.001|17.17.01.003
CID000060814,cerebral infarction,4,17.08.01.004|24.04.06.002
CID044146714,cataract,5,06.06.01.001
CID000006013,headache,4,17.14.01.001
CID000003152,skin striae,3,23.01.05.002
CID005284513,dysgeusia,4,07.14.03.001|17.02.07.003
CID000071158,neurosis,3,19.06.01.001
CID000002405,nightmare,2,19.02.03.003
CID000065492,burning sensation,4,08.01.09.029|17.02.06.001
CID000065856,disturbance in sexual arousal,4,19.08.04.003
CID000005732,neuropathy peripheral,2,17.09.03.003
CID000037542,suicide attempt,3,19.12.01.004
CID000005719,disturbance in sexual arousal,3,19.08.04.003
CID000060814,chills,4,08.01.09.001|15.05.03.016
CID000039186,flushing,4,08.01.03.025|23.06.05.003|24.03.01.002
CID003001028,uterine leiomyoma,2,16.04.02.001|21.07.02.004
CID000005070,arthritis,2,15.01.01.001
CID000060814,pain,4,08.01.08.004
CID005282226,angiopathy,2,24.03.02.007
CID006602291,headache,4,17.14.01.001
CID000110635,therapeutic response unexpected,4,08.06.01.001
CID000002732,pulmonary oedema,1,02.05.02.003|22.01.03.003
CID000003108,syncope,3,02.01.02.008|17.02.04.008|24.06.02.012
CID000452548,liver function test abnormal,4,13.03.01.013
CID000107807,body temperature increased,3,13.15.01.001
CID000005035,thrombocytopenia,3,01.08.01.002
CID000002818,vomiting,5,07.01.07.003
CID000004086,oedema,3,08.01.07.006|14.05.06.010
CID000003324,dizziness,3,02.01.02.004|17.02.05.003|24.06.02.007
CID000003958,infection,3,11.01.08.002
CID000131535,angioedema,3,10.01.05.009|23.04.01.001
CID000060834,abdominal pain,4,07.01.05.002
CID000004212,hypertension,4,24.08.02.001
CID000071616,jaundice,4,01.06.04.004|09.01.01.004|23.03.03.030
CID000358641,nausea,4,07.01.07.001
CID000002265,pancytopenia,2,01.03.03.003
CID000004679,headache,4,17.14.01.001
CID016129688,cardiac arrest,4,02.03.04.001
CID011304743,dizziness,5,02.01.02.004|17.02.05.003|24.06.02.007
CID005284537,hepatic function abnormal,4,09.01.02.001
CID006918250,muscle spasms,4,15.05.03.004
CID000004634,urinary retention,4,20.02.02.011
CID000005070,yawning,3,22.02.05.017
CID000446541,sepsis,5,11.01.11.003
CID000644241,thrombosis,3,24.01.01.006
CID000071348,gastrointestinal pain,4,07.01.05.005
CID000003869,dysuria,3,20.02.02.002
CID000077990,abdominal pain upper,3,07.01.05.003
CID000077990,urinary incontinence,4,17.05.01.008|20.02.02.010
CID000005095,laryngitis,4,11.01.13.001|22.07.03.001
CID005311068,sinus tachycardia,4,02.03.03.010
CID005311101,body temperature increased,4,13.15.01.001
CID000043672,flushing,2,08.01.03.025|23.06.05.003|24.03.01.002
CID000003494,hyperglycaemia,3,05.06.02.002|14.06.02.002
CID000003446,joint swelling,3,15.01.02.004
CID000146570,snoring,3,22.02.05.012
CID000002022,osteoarthritis,1,15.01.04.001
CID005486971,anaemia macrocytic,2,01.03.02.002|14.12.01.002
CID000060843,agranulocytosis,5,01.02.03.001
CID000006058,dyspepsia,4,07.01.02.001
CID000170361,parosmia,3,17.04.04.002|22.04.03.007
CID003010818,candida infection,3,11.03.03.021
CID000004609,arthralgia,5,15.01.02.001
CID000644241,hyperaesthesia,3,17.02.06.004
CID000068740,dyspepsia,4,07.01.02.001
CID000005070,anaphylactoid reaction,2,10.01.07.003|24.06.03.007
CID000005487,hyponatraemia,2,14.05.04.002
CID000056338,arthralgia,3,15.01.02.001
CID000002554,thinking abnormal,4,17.02.05.023|19.10.03.001
CID000003324,upper respiratory tract infection,5,11.01.13.009|22.07.03.011
CID000003446,abdominal pain,4,07.01.05.002
CID000060857,thinking abnormal,3,17.02.05.023|19.10.03.001
CID000005078,dysarthria,3,17.02.08.001|19.19.03.001
CID006442177,aspartate aminotransferase increased,4,13.03.01.006
CID000005212,cerebrovascular accident,2,17.08.01.007|24.03.05.001
CID000000137,pain,3,08.01.08.004
CID005486971,thrombosis,2,24.01.01.006
CID000004054,hypotension,4,24.06.03.002
CID016129688,blood creatinine increased,3,13.13.01.004
CID006918638,diarrhoea,5,07.02.01.001
CID005362440,insomnia,4,17.15.03.002|19.02.01.002
CID000043815,renal pain,2,20.02.03.003
CID000060853,akinesia,3,17.01.02.003
CID000020279,injection site reaction,5,08.02.03.014|12.07.03.015
CID000005732,vision blurred,4,06.02.06.007|17.17.01.010
CID000005002,amenorrhoea,3,05.05.01.002|21.01.02.001
CID005493381,duodenal ulcer,3,07.04.02.002
CID000216416,abdominal pain lower,3,07.01.05.010
CID000002179,anaemia,4,01.03.02.001
CID000003637,hepatic function abnormal,3,09.01.02.001
CID000002284,oedema peripheral,3,02.05.04.007|08.01.07.007|14.05.06.011
CID000060648,phlebitis,3,12.02.01.002|24.05.03.001
CID000077990,haematemesis,3,07.12.02.002|24.07.02.011
CID000006006,lethargy,4,08.01.01.008|17.02.04.003|19.04.04.004
CID003001028,headache,4,17.14.01.001
CID000110635,hypertension,4,24.08.02.001
CID000445643,psychotic disorder,3,19.03.01.002
CID000004595,urinary retention,4,20.02.02.011
CID000006006,thrombocytopenia,4,01.08.01.002
CID005481173,thrombocytosis,4,01.08.02.001
CID005486971,extrasystoles,2,02.03.02.003
CID000004679,asthenia,4,08.01.01.001
CID000005719,anaphylactoid reaction,1,10.01.07.003|24.06.03.007
CID000043815,tinnitus,4,04.04.01.002|17.04.07.004
CID000060853,hypoaesthesia,4,17.02.06.023
CID000060834,hyperkeratosis,3,23.01.01.001
CID000005291,anxiety,4,19.06.02.002
CID000003446,dizziness,4,02.01.02.004|17.02.05.003|24.06.02.007
CID000060648,dyskinesia,3,17.01.02.006
CID000004178,abdominal pain,4,07.01.05.002
CID025244225,constipation,4,07.02.02.001
CID005284627,eosinophilia,3,01.02.04.001
CID011707110,hyponatraemia,5,14.05.04.002
CID000002118,oedema,4,08.01.07.006|14.05.06.010
CID000005070,cardiac failure congestive,3,02.05.01.002
CID000005578,nausea,4,07.01.07.001
CID000003386,personality disorder,3,19.05.02.002
CID000060877,nasopharyngitis,4,11.01.13.002|22.07.03.002
CID009854489,cough,4,22.02.03.001
CID000060934,dyspnoea,4,02.01.03.002|22.02.01.004
CID000060857,somnolence,4,17.02.04.006|19.02.05.003
CID000005381,instillation site pain,3,08.02.01.008|12.07.01.008
CID000259331,tenderness,5,08.01.08.005
CID000005078,vertigo,3,04.04.01.003|17.02.12.002
CID006509979,pneumonia,3,11.01.09.003|22.07.01.003
CID000004594,stevens-johnson syndrome,2,10.01.03.020|11.07.01.005|12.03.01.014|23.03.01.007
CID000004440,pleurisy,2,22.05.01.001
CID000002756,thrombocytopenia,2,01.08.01.002
CID000060852,gastrointestinal pain,4,07.01.05.005
CID011556711,headache,4,17.14.01.001
CID000119182,asthenia,5,08.01.01.001
CID000154058,vision blurred,4,06.02.06.007|17.17.01.010
CID000259331,affect lability,4,19.04.01.001
CID000003869,muscle spasms,4,15.05.03.004
CID000009651,renal impairment,3,20.01.03.010
CID000123631,decreased appetite,4,08.01.09.028|14.03.01.005
CID000003676,nausea,4,07.01.07.001
CID000005533,malaise,4,08.01.01.003
CID000005070,diplopia,2,06.02.06.002|17.17.01.005
CID000358641,systemic lupus erythematosus,1,10.04.03.004|15.06.02.003|23.03.02.006
CID000005743,visual acuity reduced,4,06.02.03.001|17.17.01.011
CID000068740,musculoskeletal pain,4,15.03.04.007
CID000077993,arthralgia,3,15.01.02.001
CID000005002,gastrointestinal disorder,4,07.11.01.001
CID000037542,dehydration,4,14.05.05.001
CID000004594,rhinitis,4,11.01.13.004|22.07.03.006
CID005311027,dry eye,4,06.08.02.001
CID000005291,ecchymosis,4,01.01.03.001|23.06.01.001|24.07.06.002
CID003001028,flatulence,4,07.01.04.002
CID000077992,thirst,3,08.01.09.021|14.03.02.007
CID000030323,proctalgia,4,07.03.02.001
CID000005719,hypoglycaemia,2,05.06.03.001|14.06.03.001
CID000026757,affect lability,3,19.04.01.001
CID000077993,dry eye,2,06.08.02.001
CID000108150,pulmonary embolism,4,22.06.02.001|24.01.06.001
CID000387447,pneumonia,4,11.01.09.003|22.07.01.003
CID000002179,confusional state,4,17.02.03.005|19.13.01.001
CID000002578,face oedema,4,08.01.07.003|10.01.05.002|23.04.01.004
CID000004449,angle closure glaucoma,2,06.03.01.001
CID000060699,pharyngitis,3,07.05.07.004|11.01.13.003|22.07.03.004
CID000154100,nasal congestion,4,22.04.04.001
CID000003446,psychotic disorder,3,19.03.01.002
CID000033741,blood pressure increased,2,13.14.03.005
CID025181561,hyperbilirubinaemia,4,01.06.04.003|09.01.01.003|14.11.01.010
CID000004054,thrombophlebitis,3,24.01.02.001
CID006918155,nasal dryness,3,22.04.03.002
CID005282226,influenza,3,11.05.03.001|22.07.02.001
CID000002585,hypertension,4,24.08.02.001
CID000054687,weight decreased,4,13.15.01.005
CID000005479,fatigue,4,08.01.01.002
CID000026757,laryngitis,2,11.01.13.001|22.07.03.001
CID000005095,congenital eye disorder,4,03.01.01.002|06.08.03.011
CID005284627,tongue oedema,3,07.14.02.007|10.01.05.008|23.04.01.009
CID000068740,weight increased,3,13.15.01.006
CID009865528,diarrhoea,4,07.02.01.001
CID000005073,pulmonary oedema,2,02.05.02.003|22.01.03.003
CID000003386,hostility,3,19.05.01.003
CID006445540,lacrimation increased,4,06.08.02.004
CID000020279,haemorrhage,4,24.07.01.002
CID000170361,hypertonia,3,15.05.04.007|17.05.02.001
CID000005035,pain,4,08.01.08.004
CID000005487,vaginal infection,3,11.01.10.002|21.14.02.002
CID010034073,neutropenia,4,01.02.03.004
CID000003494,pain in extremity,3,15.03.04.010
CID000060822,muscle spasms,4,15.05.03.004
CID000005656,breast pain,3,21.05.05.003
CID000060834,ataxia,3,08.01.02.004|17.02.02.001
CID000037542,hyperlactacidaemia,4,14.01.01.006
CID000969472,face oedema,3,08.01.07.003|10.01.05.002|23.04.01.004
CID000005768,angina pectoris,5,02.02.02.002|24.04.04.002
CID000003446,cough,4,22.02.03.001
CID003002977,otitis media,4,04.05.01.001|11.01.05.004
CID016129688,skin disorder,4,23.03.03.007
CID005362440,increased appetite,4,08.01.09.027|14.03.01.003
CID000003386,ejaculation disorder,4,21.03.01.002
CID000037542,photophobia,3,06.01.01.004|17.17.02.006
CID000005095,actinic keratosis,3,23.01.06.001
CID000003637,pruritus,3,23.03.12.001
CID000005743,conjunctival oedema,4,06.04.01.001
CID000084029,breast disorder,3,21.05.04.004
CID000003637,feeling abnormal,3,08.01.09.014
CID005329102,dermatitis bullous,5,23.03.01.002
CID000002083,hyperhidrosis,4,08.01.03.028|23.02.03.004
CID000082146,hyperlipidaemia,5,14.08.03.001
CID005281081,decreased appetite,1,08.01.09.028|14.03.01.005
CID000150610,blood bilirubin increased,4,13.03.01.008
CID000060714,gingivitis,3,07.09.03.003|11.01.04.013
CID003052775,blindness,2,06.02.02.001|17.17.01.003
CID000125017,diarrhoea,5,07.02.01.001
CID000005358,completed suicide,2,08.04.01.010|19.12.01.001
CID005486971,intestinal obstruction,2,07.13.01.002
CID000001775,photosensitivity reaction,3,23.03.09.003
CID000009444,dyspnoea,5,02.01.03.002|22.02.01.004
CID000445643,application site burn,5,08.02.01.038|12.07.01.038|23.03.11.013
CID006509979,acne,3,23.02.01.001
CID005487301,headache,4,17.14.01.001
CID026275995,arthralgia,4,15.01.02.001
CID000002802,ejaculation delayed,4,21.03.01.001
CID000110635,diarrhoea,4,07.02.01.001
CID005311068,hypotension,5,24.06.03.002
CID000071616,asthenia,4,08.01.01.001
CID000004510,hypotension,4,24.06.03.002
CID000004212,haemoglobin,5,13.01.05.018
CID000004609,neuropathy peripheral,5,17.09.03.003
CID000004585,chest pain,4,02.02.02.011|08.01.08.002|22.02.08.003
CID000154256,somnolence,4,17.02.04.006|19.02.05.003
CID001548943,hypoaesthesia,3,17.02.06.023
CID000005078,dry mouth,4,07.06.01.002
CID000060853,oliguria,2,20.01.03.004
CID000451668,confusional state,4,17.02.03.005|19.13.01.001
CID005284627,dyspnoea,4,02.01.03.002|22.02.01.004
CID000068740,decreased appetite,4,08.01.09.028|14.03.01.005
CID000005426,mediastinal disorder,5,22.09.03.001
CID000005291,abdominal distension,4,07.01.04.001
CID000060843,chest pain,4,02.02.02.011|08.01.08.002|22.02.08.003
CID000002118,irritability,5,08.01.03.011|19.04.02.013
CID000003158,bradycardia,2,02.03.02.002
CID002733525,arthralgia,5,15.01.02.001
CID000002351,gastrointestinal pain,4,07.01.05.005
CID005324345,myocardial infarction,3,02.02.02.007|24.04.04.009
CID000216416,aspartate aminotransferase increased,4,13.03.01.006
CID000146570,bruxism,3,07.01.06.008|19.11.03.001
CID000002477,face oedema,3,08.01.07.003|10.01.05.002|23.04.01.004
CID000060714,body temperature increased,2,13.15.01.001
CID000002802,cough,4,22.02.03.001
CID000077990,bladder pain,3,20.02.02.001
CID000443872,insomnia,3,17.15.03.002|19.02.01.002
CID000003108,rhinitis,3,11.01.13.004|22.07.03.006
CID011304743,nausea,5,07.01.07.001
CID000063009,hypoglycaemia,2,05.06.03.001|14.06.03.001
CID025151504,diarrhoea,4,07.02.01.001
CID005311065,conjunctivitis,4,06.04.01.002|11.01.06.012
CID000004585,face oedema,3,08.01.07.003|10.01.05.002|23.04.01.004
CID000005291,gastrooesophageal reflux disease,4,07.02.02.003
CID000002187,fracture,4,12.04.02.001|15.08.02.001
CID000005002,euphoric mood,2,19.04.02.006
CID000004409,decreased appetite,3,08.01.09.028|14.03.01.005
CID000005732,dyspepsia,4,07.01.02.001
CID000065999,back pain,3,15.03.04.005
CID000009651,gastrointestinal pain,4,07.01.05.005
CID000005073,dysmenorrhoea,3,21.01.01.002
CID000005358,muscle twitching,2,15.05.03.005
CID000060779,rash,4,23.03.13.001
CID000077990,loss of consciousness,4,17.02.04.004
CID000146570,cellulitis,3,11.02.01.001|23.09.01.001
CID000000444,myalgia,4,15.05.02.001
CID003052775,ageusia,2,07.14.03.003|17.02.07.001
CID000003386,vascular headache,3,17.14.01.005|24.03.05.007
CID000071158,malaise,3,08.01.01.003
CID006442177,dermatitis acneiform,4,23.02.01.004
CID000005719,vaginal haemorrhage,2,21.08.01.001|24.07.03.005
CID000003152,vasodilation procedure,4,25.03.01.001
CID000084029,stomatitis,3,07.05.06.005
CID000115237,hypoglycaemia,1,05.06.03.001|14.06.03.001
CID000004449,ear pain,3,04.03.01.003
CID000068740,lethargy,4,08.01.01.008|17.02.04.003|19.04.04.004
CID000092721,constipation,4,07.02.02.001
CID000005002,sinus congestion,4,22.04.06.001
CID000065014,flatulence,4,07.01.04.002
CID005486971,malaise,3,08.01.01.003
CID005281104,cough,4,22.02.03.001
CID000005732,proctalgia,2,07.03.02.001
CID000005734,gingival bleeding,3,07.09.07.001|24.07.02.010
CID016129682,haemorrhage,4,24.07.01.002
CID000084029,constipation,4,07.02.02.001
CID000004585,ileus,2,07.13.01.001
CID003033637,asthenia,4,08.01.01.001
CID000002022,tremor,1,17.01.06.002
CID000003032,upper respiratory tract infection,4,11.01.13.009|22.07.03.011
CID006450551,deep vein thrombosis,3,24.01.02.003
CID054686904,thrombocytopenia,3,01.08.01.002
CID000004205,ejaculation disorder,2,21.03.01.002
CID003052775,gynaecomastia,2,05.05.02.003|21.05.04.003
CID000005035,body temperature increased,4,13.15.01.001
CID005284543,somnolence,4,17.02.04.006|19.02.05.003
CID000001775,agitation,4,17.02.05.012|19.06.02.001
CID000452548,nausea,5,07.01.07.001
CID000071158,hostility,3,19.05.01.003
CID000002022,psychotic disorder,1,19.03.01.002
CID000014888,vasculitis,4,10.02.02.006|24.05.02.001
CID000146570,hernia,3,08.01.04.001
CID000170361,transient ischaemic attack,2,17.08.04.001|24.04.06.005
CID000005426,hypotension,4,24.06.03.002
CID000004205,pneumothorax,2,22.05.02.003
CID001549007,upper respiratory tract infection,4,11.01.13.009|22.07.03.011
CID010324367,menorrhagia,3,21.01.03.002
CID000154100,insomnia,4,17.15.03.002|19.02.01.002
CID000077992,tremor,3,17.01.06.002
CID000131535,acute coronary syndrome,3,02.02.02.015|24.04.04.011
CID000005078,asthenia,4,08.01.01.001
CID000003440,agranulocytosis,3,01.02.03.001
CID000056338,pneumonia aspiration,3,22.01.01.005
CID000026757,ataxia,3,08.01.02.004|17.02.02.001
CID000060772,tension,3,19.06.02.005
CID000148192,hypersensitivity,3,10.01.03.003
CID006436173,pruritus,4,23.03.12.001
CID005486971,arteriosclerosis,3,24.04.02.001
CID000644241,angina pectoris,4,02.02.02.002|24.04.04.002
CID000002118,eye disorder,3,06.08.03.001
CID005742832,nasal congestion,5,22.04.04.001
CID000004011,tremor,4,17.01.06.002
CID000060846,diarrhoea,4,07.02.01.001
CID000037542,myocardial ischaemia,1,02.02.02.008|24.04.04.010
CID004659569,sinus congestion,4,22.04.06.001
CID000000444,body temperature increased,4,13.15.01.001
CID000005095,breast cancer,4,16.10.01.001|21.05.01.003
CID000216326,polycythaemia,4,01.07.01.001
CID000033624,eye irritation,4,06.04.05.003
CID044462760,myalgia,5,15.05.02.001
CID000446541,rash,5,23.03.13.001
CID000002216,hyperaemia,5,24.03.02.002
CID000050224,skin disorder,4,23.03.03.007
CID070788982,arthralgia,4,15.01.02.001
CID000445643,hypertension,5,24.08.02.001
CID005486971,myoclonus,4,17.02.05.008
CID006445540,hypersensitivity,4,10.01.03.003
CID000004192,hiccups,4,07.01.06.009|22.02.04.002
CID000060834,dry eye,3,06.08.02.001
CID000002092,pruritus,4,23.03.12.001
CID000003899,hypokalaemia,4,14.05.03.002
CID005486971,tendinous contracture,3,15.07.01.001
CID000005656,haematuria,3,20.02.01.006|24.07.01.047
CID024826799,blood potassium decreased,4,13.11.01.010
CID000004893,dry mouth,4,07.06.01.002
CID005284627,atrioventricular block,3,02.03.01.002
CID003052775,vascular purpura,2,01.01.04.007|23.06.01.008|24.07.06.011
CID025077993,nervous system disorder,4,17.02.10.001
CID000002284,autonomic nervous system imbalance,3,08.01.01.010|17.05.01.011|24.06.01.005
CID000071616,albuminuria,3,20.02.01.001
CID005362118,asthenia,4,08.01.01.001
CID000004440,feeling hot,4,08.01.09.009
CID000644241,skin hyperpigmentation,3,23.05.01.003
CID000002554,myoclonus,1,17.02.05.008
CID000387447,hyperglycaemia,4,05.06.02.002|14.06.02.002
CID000026757,osteoarthritis,3,15.01.04.001
CID000002771,cardiac arrest,2,02.03.04.001
CID006850789,back pain,4,15.03.04.005
CID000216239,pancreatitis,3,07.18.01.001
CID000060606,urticaria,1,10.01.06.001|23.04.02.001
CID000170361,dysarthria,3,17.02.08.001|19.19.03.001
CID005284616,sepsis,4,11.01.11.003
CID000003961,muscular weakness,4,15.05.06.001|17.05.03.005
CID003081884,injection site reaction,4,08.02.03.014|12.07.03.015
CID000005426,deep vein thrombosis,5,24.01.02.003
CID000002477,conjunctivitis,3,06.04.01.002|11.01.06.012
CID000060953,musculoskeletal discomfort,4,15.03.04.001
CID000005095,tension headache,3,17.14.01.004
CID000474409,hypersensitivity,4,10.01.03.003
CID000110635,gastrointestinal pain,4,07.01.05.005
CID044146714,back pain,4,15.03.04.005
